event_id,user_id,mode,game_name,learning_time_ms,number_range,start,end,skill_id,type
19,2,NORMAL,Conversion,10119.0,R10,2022-09-29T07:18:58.595Z,2022-09-29T07:19:11.076Z,3.0,task
20,2,NORMAL,Conversion,7604.0,R10,2022-10-03T07:11:37.912Z,2022-10-03T07:12:35.220Z,3.0,task
21,2,NORMAL,Comparison,3267.0,R10,2022-10-04T08:50:01.489Z,2022-10-04T08:50:07.429Z,11.0,task
22,2,NORMAL,Comparison,1735.0,R10,2022-10-05T07:28:48.905Z,2022-10-05T07:28:52.309Z,12.0,task
23,2,NORMAL,Conversion,15458.0,R10,2022-10-06T07:17:20.510Z,2022-10-06T07:17:36.161Z,6.0,task
24,2,NORMAL,Landing,6065.0,R10,2022-10-10T07:23:09.731Z,2022-10-10T07:23:22.365Z,17.0,task
25,2,NORMAL,Landing,6064.0,R10,2022-10-11T09:00:01.332Z,2022-10-11T09:00:17.644Z,17.0,task
27,2,NORMAL,Conversion,191263.0,R10,2022-10-17T07:11:27.888Z,2022-10-17T07:15:14.818Z,4.0,task
28,2,NORMAL,Sliderule,37171.0,R10,2022-10-17T07:35:14.239Z,2022-10-17T07:35:51.630Z,24.0,task
29,2,NORMAL,Order,9989.0,R10,2022-10-18T08:44:27.548Z,2022-10-18T08:44:37.721Z,15.0,task
30,2,NORMAL,Order,3859.0,R10,2022-10-19T07:27:34.431Z,2022-10-19T07:27:38.499Z,15.0,task
31,2,NORMAL,Distance,123789.0,R10,2022-10-20T07:11:31.350Z,2022-10-20T07:13:36.794Z,13.0,task
32,2,NORMAL,Distance,18283.0,R10,2022-10-31T08:22:13.353Z,2022-10-31T08:22:31.845Z,13.0,task
34,2,NORMAL,Order,10690.0,R10,2022-11-03T08:18:07.294Z,2022-11-03T08:18:18.162Z,15.0,task
35,2,NORMAL,Order,38020.0,R10,2022-11-07T08:14:28.805Z,2022-11-07T08:15:07.049Z,15.0,task
36,2,NORMAL,Order,5402.0,R10,2022-11-09T08:10:18.635Z,2022-11-09T08:10:24.220Z,15.0,task
37,2,NORMAL,Distance,14500.0,R10,2022-11-10T08:12:26.303Z,2022-11-10T08:12:41.009Z,13.0,task
38,2,NORMAL,Order,4059.0,R10,2022-11-14T08:18:58.291Z,2022-11-14T08:19:02.572Z,15.0,task
39,2,NORMAL,Order,3648.0,R10,2022-11-15T09:52:58.349Z,2022-11-15T09:53:02.189Z,15.0,task
40,2,NORMAL,Order,2847.0,R10,2022-11-15T09:57:36.136Z,2022-11-15T09:57:40.058Z,15.0,task
41,2,NORMAL,Order,50010.0,R10,2022-11-16T08:18:06.690Z,2022-11-16T08:18:56.909Z,15.0,task
42,2,NORMAL,Landing,6063.0,R10,2022-11-21T08:17:49.828Z,2022-11-21T08:18:14.697Z,18.0,task
43,2,NORMAL,Landing,6068.0,R10,2022-11-22T09:45:53.651Z,2022-11-22T09:46:04.231Z,18.0,task
44,2,NORMAL,Landing,6050.0,R10,2022-11-22T09:54:02.013Z,2022-11-22T09:54:22.975Z,17.0,task
45,2,NORMAL,Landing,6057.0,R10,2022-11-23T08:10:42.150Z,2022-11-23T08:10:52.400Z,17.0,task
46,2,NORMAL,Landing,6054.0,R10,2022-11-24T08:11:53.704Z,2022-11-24T08:12:00.949Z,18.0,task
47,2,NORMAL,Landing,6053.0,R10,2022-11-28T08:23:12.270Z,2022-11-28T08:24:04.212Z,18.0,task
48,2,NORMAL,Comparison,1432.0,R10,2022-11-29T09:44:12.148Z,2022-11-29T09:44:23.164Z,12.0,task
49,2,NORMAL,Landing,6060.0,R10,2022-12-01T08:15:17.973Z,2022-12-01T08:15:29.821Z,18.0,task
50,2,NORMAL,Landing,7131.0,R10,2022-12-06T09:46:00.427Z,2022-12-06T09:46:10.254Z,19.0,task
51,2,NORMAL,Conversion,8261.0,R10,2022-12-07T08:09:53.930Z,2022-12-07T08:10:02.411Z,4.0,task
52,2,NORMAL,Conversion,2944.0,R10,2022-12-07T08:19:20.185Z,2022-12-07T08:19:23.302Z,4.0,task
55,2,NORMAL,Landing,6887.0,R10,2022-12-07T08:22:12.351Z,2022-12-07T08:22:28.012Z,19.0,task
57,2,NORMAL,Landing,7285.0,R10,2022-12-08T08:21:29.217Z,2022-12-08T08:21:38.024Z,19.0,task
59,2,NORMAL,Landing,7231.0,R10,2022-12-13T09:48:13.751Z,2022-12-13T09:48:22.484Z,19.0,task
60,2,END_OF_NR,Comparison,468.0,R10,2022-12-15T08:19:03.080Z,2022-12-15T08:19:05.021Z,12.0,task
61,2,END_OF_NR,Conversion,7125.0,R10,2022-12-19T08:14:03.137Z,2022-12-19T08:14:10.484Z,7.0,task
62,2,END_OF_NR,Conversion,102821.0,R10,2022-12-22T08:14:52.021Z,2022-12-22T08:22:09.851Z,3.0,task
64,2,END_OF_NR,Comparison,2101.0,R10,2023-01-10T09:48:46.463Z,2023-01-10T09:48:49.743Z,11.0,task
65,2,END_OF_NR,Landing,6056.0,R10,2023-01-12T08:12:52.938Z,2023-01-12T08:13:01.727Z,18.0,task
66,2,END_OF_NR,Subitizing,30082.0,R10,2023-01-16T11:49:50.603Z,2023-01-16T11:50:32.812Z,1.0,task
67,2,END_OF_NR,Conversion,11270.0,R10,2023-01-17T09:51:44.852Z,2023-01-17T09:51:56.343Z,6.0,task
68,2,END_OF_NR,Subitizing,15892.0,R10,2023-01-18T08:06:49.071Z,2023-01-18T08:07:23.994Z,1.0,task
69,2,END_OF_NR,Landing,7228.0,R10,2023-01-23T11:49:22.445Z,2023-01-23T11:49:30.685Z,19.0,task
70,2,END_OF_NR,Comparison,2144.0,R10,2023-01-24T09:50:23.364Z,2023-01-24T09:50:29.038Z,12.0,task
71,2,END_OF_NR,Conversion,5185.0,R10,2023-01-26T10:25:51.451Z,2023-01-26T10:25:56.795Z,6.0,task
74,2,END_OF_NR,Subitizing,4366.0,R10,2023-02-06T08:19:52.945Z,2023-02-06T08:23:36.388Z,1.0,task
75,2,END_OF_NR,Conversion,70853.0,R10,2023-02-07T11:48:07.223Z,2023-02-07T11:50:43.775Z,7.0,task
76,2,END_OF_NR,Conversion,6764.0,R10,2023-02-08T08:09:12.548Z,2023-02-08T08:12:05.058Z,3.0,task
77,2,END_OF_NR,Order,8664.0,R10,2023-02-09T08:10:25.512Z,2023-02-09T08:10:34.357Z,15.0,task
78,3,NORMAL,Subitizing,3530.0,R10,2021-09-27T07:46:21.450Z,2021-09-27T07:46:34.156Z,1.0,task
79,3,NORMAL,Comparison,4109.0,R10,2021-10-01T08:42:42.105Z,2021-10-01T08:42:47.804Z,12.0,task
80,3,NORMAL,Comparison,2932.0,R20,2021-10-06T08:58:09.500Z,2021-10-06T08:58:18.368Z,43.0,task
81,3,END_OF_NR,Comparison,1170.0,R20,2021-10-26T07:35:17.218Z,2021-10-26T07:35:18.570Z,43.0,task
82,3,NORMAL,Landing,6109.0,R100,2021-10-28T07:59:01.567Z,2021-10-28T07:59:08.803Z,109.0,task
83,3,NORMAL,Landing,6946.0,R100,2021-10-28T08:18:46.569Z,2021-10-28T08:18:55.488Z,110.0,task
84,3,NORMAL,Landing,6925.0,R100,2021-10-28T09:48:35.862Z,2021-10-28T09:48:49.057Z,110.0,task
85,3,NORMAL,Landing,7066.0,R100,2021-11-11T08:52:38.751Z,2021-11-11T08:52:47.291Z,110.0,task
86,3,END_OF_NR,Comparison,1354.0,R100,2021-11-18T08:59:41.165Z,2021-11-18T08:59:45.112Z,103.0,task
87,3,END_OF_NR,Conversion,22898.0,R100,2022-01-13T11:45:19.727Z,2022-01-13T11:45:42.809Z,98.0,task
88,4,NORMAL,Subitizing,12093.0,R10,2019-11-12T12:18:46.260Z,2019-11-12T12:21:17.005Z,1.0,task
89,4,NORMAL,Conversion,180999.0,R10,2019-12-03T12:15:59.038Z,2019-12-03T12:24:13.104Z,3.0,task
91,5,NORMAL,Subitizing,10275.0,R10,2022-04-26T11:40:45.385Z,2022-04-26T11:41:17.375Z,1.0,task
92,5,NORMAL,Conversion,24634.0,R10,2022-05-03T11:35:35.431Z,2022-05-03T11:36:00.233Z,7.0,task
93,5,NORMAL,Conversion,20866.0,R20,2022-05-10T11:32:06.987Z,2022-05-10T11:32:28.012Z,38.0,task
94,5,NORMAL,Landing,6090.0,R20,2022-05-17T11:31:18.936Z,2022-05-17T11:31:37.604Z,49.0,task
95,5,NORMAL,Landing,6087.0,R20,2022-05-19T18:13:39.092Z,2022-05-19T18:13:47.012Z,50.0,task
96,5,NORMAL,Landing,6086.0,R20,2022-05-30T10:35:46.525Z,2022-05-30T10:35:53.752Z,49.0,task
97,5,NORMAL,Landing,6078.0,R20,2022-07-02T06:18:43.578Z,2022-07-02T06:18:51.255Z,50.0,task
98,5,NORMAL,Landing,6096.0,R20,2022-07-03T18:31:33.320Z,2022-07-03T18:31:56.057Z,50.0,task
99,5,NORMAL,Estimation,4136.0,R100,2022-07-21T17:06:08.265Z,2022-07-21T17:06:16.521Z,95.0,task
100,5,NORMAL,Landing,7434.0,R100,2022-07-22T17:40:45.640Z,2022-07-22T17:40:54.860Z,110.0,task
101,5,END_OF_NR,Comparison,1950.0,R100,2022-07-31T10:17:57.357Z,2022-07-31T10:18:01.077Z,94.0,task
102,5,END_OF_NR,Landing,7228.0,R100,2022-08-02T12:17:56.514Z,2022-08-02T12:18:05.458Z,110.0,task
103,5,END_OF_NR,Estimation on Number Line,7908.0,R100,2022-08-29T12:27:08.237Z,2022-08-29T12:27:16.396Z,100.0,task
104,5,NORMAL,Calculator,45749.0,R100,2022-08-29T15:35:18.377Z,2022-08-29T15:36:04.386Z,133.0,task
105,6,NORMAL,Subitizing,3713.0,R10,2022-09-02T07:28:42.778Z,2022-09-02T07:28:49.100Z,1.0,task
106,6,NORMAL,Landing,6999.0,R10,2022-09-05T11:59:56.382Z,2022-09-05T12:00:04.895Z,19.0,task
107,6,NORMAL,Landing,7198.0,R20,2022-09-06T07:04:53.944Z,2022-09-06T07:05:02.113Z,51.0,task
108,6,END_OF_NR,Estimation on Number Line,1243.0,R20,2022-09-07T07:06:43.742Z,2022-09-07T07:06:45.204Z,39.0,task
109,6,NORMAL,Calculator,5413.0,R100,2022-09-07T09:13:36.713Z,2022-09-07T09:13:42.322Z,116.0,task
110,6,NORMAL,Calculator,3865.0,R100,2022-09-07T10:51:51.908Z,2022-09-07T10:51:55.929Z,121.0,task
111,6,NORMAL,Landing,6061.0,R100,2022-09-08T07:37:26.035Z,2022-09-08T07:37:33.164Z,112.0,task
112,6,END_OF_NR,Comparison,1001.0,R100,2022-09-14T11:20:19.279Z,2022-09-14T11:21:30.649Z,94.0,task
113,6,NORMAL,Estimation on Number Line,1630.0,R1000,2022-09-15T07:52:54.502Z,2022-09-15T07:52:56.306Z,172.0,task
114,6,NORMAL,Landing,6060.0,R1000,2022-09-20T07:37:00.779Z,2022-09-20T07:37:07.651Z,180.0,task
115,6,FREE_TRAINING,Plus-minus,5743.0,R10,2023-01-20T08:58:26.631Z,2023-01-20T08:58:32.344Z,0.0,task
116,6,PRACTICE,Conversion,8748.0,R1000,2023-01-31T10:33:39.592Z,2023-01-31T10:33:48.335Z,169.0,task
117,6,PRACTICE,Scale: Decomposition,21084.0,R10,2023-02-01T10:17:44.101Z,2023-02-01T10:18:05.002Z,21.0,task
118,7,NORMAL,Subitizing,32945.0,R10,2015-03-19T18:48:57.303Z,2015-03-19T18:49:30.248Z,1.0,task
119,7,NORMAL,Conversion,6707.0,R10,2015-03-20T18:07:17.288Z,2015-03-20T18:07:23.995Z,3.0,task
120,7,NORMAL,Landing,8281.0,R10,2015-03-23T15:18:26.515Z,2015-03-23T15:18:34.796Z,19.0,task
121,7,END_OF_NR,Conversion,8603.0,R10,2015-04-02T14:03:06.836Z,2015-04-02T14:03:15.439Z,7.0,task
122,7,END_OF_NR,Order,22653.0,R10,2015-04-07T14:45:06.100Z,2015-04-07T14:45:28.753Z,15.0,task
123,7,NORMAL,Comparison,2956.0,R20,2015-04-20T14:44:52.559Z,2015-04-20T14:44:55.515Z,33.0,task
124,7,NORMAL,Landing,7645.0,R20,2015-04-28T15:16:45.180Z,2015-04-28T15:17:06.737Z,51.0,task
125,7,END_OF_NR,Secret Number,46627.0,R20,2015-05-15T14:46:07.952Z,2015-05-15T14:46:54.579Z,47.0,task
126,7,END_OF_NR,Distance,56364.0,R20,2015-05-29T17:57:22.321Z,2015-05-29T17:58:18.685Z,45.0,task
127,8,NORMAL,Subitizing,5026.0,R10,2021-08-23T09:05:04.462Z,2021-08-23T09:05:13.082Z,1.0,task
128,8,NORMAL,Landing,6165.0,R10,2021-08-25T10:48:05.873Z,2021-08-25T10:48:15.487Z,18.0,task
129,8,NORMAL,Landing,8648.0,R20,2021-08-30T09:17:39.091Z,2021-08-30T09:18:25.094Z,51.0,task
130,8,END_OF_NR,Landing,6147.0,R20,2021-09-02T16:20:27.200Z,2021-09-02T16:20:58.560Z,49.0,task
131,8,NORMAL,Conversion,9932.0,R100,2021-09-06T08:57:45.146Z,2021-09-06T08:57:54.795Z,97.0,task
132,8,NORMAL,Landing,7476.0,R100,2021-09-09T14:54:11.651Z,2021-09-09T14:54:22.211Z,110.0,task
133,8,NORMAL,Landing,7291.0,R100,2021-09-13T08:55:42.213Z,2021-09-13T08:55:59.696Z,110.0,task
134,8,NORMAL,Conversion,21453.0,R100,2021-09-14T15:52:27.471Z,2021-09-14T15:52:49.176Z,98.0,task
135,8,NORMAL,Landing,8053.0,R100,2021-09-20T08:51:20.723Z,2021-09-20T08:51:39.745Z,110.0,task
136,8,NORMAL,Landing,6991.0,R100,2021-09-22T11:12:22.935Z,2021-09-22T11:12:31.567Z,110.0,task
137,8,NORMAL,Landing,8027.0,R100,2021-09-27T08:51:41.165Z,2021-09-27T08:51:51.643Z,111.0,task
138,8,NORMAL,Landing,6084.0,R100,2021-09-29T10:45:08.254Z,2021-09-29T10:45:23.853Z,112.0,task
139,8,END_OF_NR,Order,2903.0,R100,2021-10-04T09:06:52.195Z,2021-10-04T09:06:55.303Z,106.0,task
141,8,NORMAL,Distribution,34432.0,R20,2021-10-04T11:17:20.043Z,2021-10-04T11:17:54.550Z,82.0,task
142,8,END_OF_NR,Comparison,1259.0,R100,2021-10-25T08:52:10.800Z,2021-10-25T08:52:14.866Z,94.0,task
143,8,NORMAL,Landing,6099.0,R1000,2021-10-26T14:20:26.795Z,2021-10-26T14:20:47.171Z,179.0,task
144,8,NORMAL,Landing,8252.0,R1000,2021-11-03T15:57:12.520Z,2021-11-03T15:57:29.555Z,181.0,task
145,8,END_OF_NR,Secret Number,170410.0,R1000,2021-11-08T09:54:36.984Z,2021-11-08T09:57:27.588Z,178.0,task
146,8,END_OF_NR,Estimation,4583.0,R1000,2021-11-10T11:59:58.234Z,2021-11-10T12:00:06.148Z,167.0,task
147,8,END_OF_NR,Estimation on Number Line,5442.0,R1000,2021-11-15T09:53:23.065Z,2021-11-15T09:53:28.719Z,172.0,task
148,8,END_OF_NR,Comparison,1001.0,R1000,2021-11-17T11:49:55.926Z,2021-11-17T11:49:58.939Z,166.0,task
149,8,END_OF_NR,Order,3307.0,R1000,2021-11-22T09:48:21.062Z,2021-11-22T09:48:24.575Z,177.0,task
150,8,END_OF_NR,Landing,6113.0,R1000,2021-11-24T08:13:52.686Z,2021-11-24T08:14:00.308Z,180.0,task
151,8,END_OF_NR,Comparison,1171.0,R1000,2021-11-30T14:22:57.463Z,2021-11-30T14:23:00.128Z,166.0,task
152,8,END_OF_NR,Estimation,2133.0,R1000,2021-12-01T12:08:33.283Z,2021-12-01T12:08:39.283Z,167.0,task
153,8,END_OF_NR,Landing,6059.0,R1000,2021-12-06T12:01:34.911Z,2021-12-06T12:01:43.209Z,179.0,task
154,8,END_OF_NR,Landing,9030.0,R1000,2021-12-07T14:21:09.967Z,2021-12-07T14:21:26.666Z,181.0,task
155,8,END_OF_NR,Landing,8561.0,R1000,2021-12-13T12:10:52.920Z,2021-12-13T12:11:06.570Z,181.0,task
156,8,END_OF_NR,Conversion,12069.0,R1000,2021-12-14T14:14:43.269Z,2021-12-14T14:14:55.556Z,170.0,task
157,8,END_OF_NR,Secret Number,130031.0,R1000,2022-01-06T08:21:36.535Z,2022-01-06T08:23:46.771Z,178.0,task
158,8,END_OF_NR,Conversion,6946.0,R1000,2022-01-12T17:46:44.062Z,2022-01-12T17:46:51.436Z,169.0,task
159,8,END_OF_NR,Comparison,2142.0,R1000,2022-01-20T18:44:21.637Z,2022-01-20T18:44:24.777Z,166.0,task
160,8,END_OF_NR,Conversion,5610.0,R1000,2022-01-31T15:58:15.849Z,2022-01-31T15:58:21.627Z,170.0,task
161,8,END_OF_NR,Order,4296.0,R1000,2022-02-07T09:46:12.740Z,2022-02-07T09:46:17.217Z,177.0,task
162,8,END_OF_NR,Order,4127.0,R1000,2022-02-09T10:44:55.816Z,2022-02-09T10:45:00.129Z,177.0,task
163,8,END_OF_NR,Comparison,1561.0,R1000,2022-02-14T17:40:56.225Z,2022-02-14T17:40:59.406Z,166.0,task
164,8,END_OF_NR,Comparison,1283.0,R1000,2022-02-22T14:15:05.723Z,2022-02-22T14:15:12.327Z,166.0,task
165,8,END_OF_NR,Secret Number,102608.0,R1000,2022-02-24T08:13:42.043Z,2022-02-24T08:15:24.845Z,178.0,task
166,8,END_OF_NR,Landing,6127.0,R1000,2022-03-08T14:26:44.800Z,2022-03-08T14:26:57.374Z,180.0,task
167,8,END_OF_NR,Estimation on Number Line,5120.0,R1000,2022-03-09T18:09:39.721Z,2022-03-09T18:09:44.990Z,172.0,task
168,8,END_OF_NR,Landing,6273.0,R1000,2022-03-15T13:35:07.498Z,2022-03-15T13:35:15.321Z,179.0,task
169,8,END_OF_NR,Distance,10683.0,R1000,2022-03-16T11:45:24.119Z,2022-03-16T11:45:34.991Z,175.0,task
170,8,END_OF_NR,Conversion,23652.0,R1000,2022-03-22T13:30:27.717Z,2022-03-22T13:30:51.559Z,169.0,task
171,8,END_OF_NR,Secret Number,69495.0,R1000,2022-03-23T11:58:59.500Z,2022-03-23T12:00:09.199Z,178.0,task
172,8,END_OF_NR,Secret Number,55687.0,R1000,2022-03-29T12:45:34.987Z,2022-03-29T12:46:30.852Z,178.0,task
173,8,END_OF_NR,Comparison,983.0,R1000,2022-03-30T11:20:26.791Z,2022-03-30T11:20:30.176Z,166.0,task
174,8,END_OF_NR,Landing,6117.0,R1000,2022-04-04T11:05:53.703Z,2022-04-04T11:06:01.037Z,180.0,task
175,8,END_OF_NR,Conversion,6438.0,R1000,2022-04-05T11:49:32.253Z,2022-04-05T11:49:38.646Z,170.0,task
176,8,END_OF_NR,Estimation on Number Line,2582.0,R1000,2022-04-13T10:42:02.661Z,2022-04-13T10:42:05.417Z,172.0,task
177,8,END_OF_NR,Comparison,982.0,R1000,2022-05-11T11:06:56.055Z,2022-05-11T11:06:58.156Z,166.0,task
178,8,END_OF_NR,Conversion,21456.0,R1000,2022-05-18T11:01:24.138Z,2022-05-18T11:01:45.851Z,170.0,task
179,8,END_OF_NR,Landing,8075.0,R1000,2022-05-24T17:37:27.465Z,2022-05-24T17:37:43.675Z,181.0,task
180,8,END_OF_NR,Landing,6166.0,R1000,2022-05-30T11:18:40.977Z,2022-05-30T11:18:52.839Z,180.0,task
181,8,END_OF_NR,Distance,28171.0,R1000,2022-06-08T15:40:14.436Z,2022-06-08T15:40:42.871Z,176.0,task
182,8,END_OF_NR,Conversion,6123.0,R1000,2022-06-13T11:01:57.154Z,2022-06-13T11:02:03.449Z,170.0,task
183,8,END_OF_NR,Comparison,839.0,R1000,2022-06-20T11:35:45.368Z,2022-06-20T11:35:48.475Z,166.0,task
187,9,NORMAL,Subitizing,8386.0,R10,2019-10-14T13:09:26.989Z,2019-10-14T13:10:08.436Z,1.0,task
188,9,NORMAL,Calculator,26887.0,R10,2019-10-14T13:41:45.934Z,2019-10-14T13:42:13.043Z,27.0,task
189,9,NORMAL,Landing,6075.0,R10,2020-02-25T13:46:28.831Z,2020-02-25T13:47:01.894Z,18.0,task
190,9,END_OF_NR,Completion,3650.0,R10,2020-02-25T14:14:34.438Z,2020-02-25T14:14:38.294Z,29.0,task
191,9,NORMAL,Landing,6898.0,R10,2020-02-25T14:26:21.642Z,2020-02-25T14:26:37.080Z,19.0,task
192,9,NORMAL,Comparison,4029.0,R100,2020-03-08T13:46:58.408Z,2020-03-08T13:47:14.150Z,94.0,task
193,10,NORMAL,Subitizing,34081.0,R10,2017-08-30T06:30:05.882Z,2017-08-30T06:30:44.927Z,1.0,task
194,10,NORMAL,Conversion,37043.0,R10,2017-09-20T06:47:32.474Z,2017-09-20T06:48:25.807Z,3.0,task
195,10,NORMAL,Conversion,72258.0,R10,2019-01-13T10:16:34.740Z,2019-01-13T10:18:25.498Z,4.0,task
196,10,NORMAL,Conversion,68908.0,R10,2019-03-21T09:40:52.479Z,2019-03-21T09:42:01.663Z,6.0,task
197,10,NORMAL,Comparison,4032.0,R10,2021-01-29T08:45:30.334Z,2021-01-29T08:45:36.716Z,12.0,task
198,10,NORMAL,Landing,6065.0,R10,2021-03-11T15:14:07.679Z,2021-03-11T15:14:19.378Z,18.0,task
199,10,END_OF_NR,Conversion,16838.0,R10,2021-03-18T14:26:32.714Z,2021-03-18T14:26:49.826Z,7.0,task
200,10,NORMAL,Conversion,4348.0,R20,2021-03-24T18:59:05.703Z,2021-03-24T18:59:10.308Z,35.0,task
201,10,NORMAL,Landing,6076.0,R20,2021-04-02T14:14:11.204Z,2021-04-02T14:14:18.364Z,50.0,task
202,10,END_OF_NR,Conversion,23871.0,R20,2021-04-12T13:40:08.802Z,2021-04-12T13:40:32.875Z,35.0,task
203,10,END_OF_NR,Landing,6087.0,R20,2021-04-14T03:45:06.533Z,2021-04-14T03:45:13.554Z,48.0,task
204,10,END_OF_NR,Distance,24266.0,R20,2021-05-21T04:10:54.399Z,2021-05-21T04:11:18.897Z,45.0,task
205,10,NORMAL,Landing,6080.0,R100,2021-06-02T15:42:24.411Z,2021-06-02T15:42:48.212Z,109.0,task
206,10,NORMAL,Landing,7864.0,R100,2021-06-03T14:00:35.271Z,2021-06-03T14:00:56.265Z,111.0,task
207,10,NORMAL,Write as multiplication,66556.0,R20,2021-06-03T19:14:01.601Z,2021-06-03T19:15:18.894Z,73.0,task
208,10,NORMAL,Landing,7657.0,R100,2021-06-07T13:58:25.294Z,2021-06-07T13:58:47.973Z,111.0,task
209,10,NORMAL,Landing,7802.0,R100,2021-06-07T13:59:18.347Z,2021-06-07T14:00:18.545Z,111.0,task
210,10,NORMAL,Landing,7289.0,R100,2021-06-14T14:17:04.596Z,2021-06-14T14:17:14.289Z,111.0,task
211,10,NORMAL,Landing,7467.0,R100,2021-06-16T17:07:33.872Z,2021-06-16T17:07:44.970Z,111.0,task
212,10,NORMAL,Landing,6053.0,R100,2021-06-21T14:10:34.332Z,2021-06-21T14:10:42.051Z,112.0,task
213,10,END_OF_NR,Estimation on Number Line,30402.0,R100,2021-06-23T17:55:02.824Z,2021-06-23T17:55:45.845Z,100.0,task
214,10,END_OF_NR,Landing,7566.0,R100,2021-06-28T13:29:03.790Z,2021-06-28T13:29:16.651Z,111.0,task
215,10,END_OF_NR,Landing,7783.0,R100,2021-07-08T13:46:44.518Z,2021-07-08T13:47:01.991Z,110.0,task
216,11,NORMAL,Subitizing,29611.0,R10,2015-05-18T07:07:49.736Z,2015-05-18T07:08:19.347Z,1.0,task
218,12,NORMAL,Subitizing,7306.0,R10,2020-04-03T15:32:50.271Z,2020-04-03T15:33:12.759Z,1.0,task
219,12,NORMAL,Subitizing,2842.0,R10,2020-04-05T17:46:24.837Z,2020-04-05T17:46:29.672Z,1.0,task
220,12,NORMAL,Landing,6057.0,R10,2020-04-17T09:43:35.056Z,2020-04-17T09:43:50.551Z,18.0,task
221,12,NORMAL,Landing,6865.0,R10,2020-04-22T15:31:07.826Z,2020-04-22T15:31:35.454Z,19.0,task
222,12,NORMAL,Estimation on Number Line,31859.0,R20,2020-04-24T12:02:27.298Z,2020-04-24T12:02:59.383Z,39.0,task
223,12,NORMAL,Landing,6095.0,R20,2020-04-24T13:32:07.305Z,2020-04-24T13:32:18.441Z,48.0,task
225,12,NORMAL,Landing,6087.0,R20,2020-04-26T13:37:54.678Z,2020-04-26T13:38:14.943Z,49.0,task
226,12,NORMAL,Landing,6093.0,R20,2020-04-27T12:25:55.596Z,2020-04-27T12:26:09.775Z,49.0,task
227,12,NORMAL,Landing,6061.0,R20,2020-04-27T12:30:28.990Z,2020-04-27T12:30:37.199Z,50.0,task
228,12,NORMAL,Landing,6090.0,R20,2020-04-28T19:39:29.888Z,2020-04-28T19:41:06.955Z,49.0,task
229,12,NORMAL,Landing,6051.0,R20,2020-04-28T19:44:38.066Z,2020-04-28T19:44:59.886Z,49.0,task
231,12,NORMAL,Landing,6091.0,R20,2020-05-04T13:31:28.551Z,2020-05-04T13:32:13.106Z,50.0,task
232,12,NORMAL,Landing,6084.0,R20,2020-05-05T18:30:38.339Z,2020-05-05T18:30:59.523Z,49.0,task
233,12,NORMAL,Landing,7179.0,R20,2020-05-09T10:29:34.136Z,2020-05-09T10:29:46.499Z,51.0,task
234,12,END_OF_NR,Distance,87471.0,R20,2020-09-24T08:30:36.162Z,2020-09-24T08:32:39.914Z,45.0,task
235,13,NORMAL,Subitizing,6002.0,R10,2022-10-18T20:33:47.013Z,2022-10-18T20:34:23.665Z,1.0,task
